Χρονική σήμανση,Διεύθυνση ηλεκτρονικού ταχυδρομείου,Ονοματεπώνυμο,Είστε Φοιτητής του Πανεπιστημίου Πειραιώς;,Έτος Σπουδών (προαιρετικό):,Εμπειρία στο Linux,Αγαπημένη διανομή linux (προαιρετικό);,"Θα θέλατε να σας στείλουμε μία Feedback φόρμα (μετά το πέρας του event), προκειμένου να το αξιολογήσετε ή/και να μας πείτε πως μπορούμε να βελτιωθούμε (ανώνυμα);"
11/10/2017 11:06:54 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Intermediate,Archlinux,Ναι
11/10/2017 11:09:29 μ.μ.,linux@gmail.com,Foo Bar,Ναι,3ο,Καμία/Beginner,,Όχι
11/10/2017 11:13:14 μ.μ.,linux@gmail.com,Foo Bar,Ναι,3,Καμία/Beginner,,Όχι
11/10/2017 11:23:18 μ.μ.,linux@gmail.com,Foo Bar,Ναι,3,Advanced/Expert,,Όχι
11/10/2017 11:29:54 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
11/10/2017 11:32:06 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Όχι
11/10/2017 11:32:06 μ.μ.,linux@gmail.com,Foo Bar,Ναι,4,Καμία/Beginner,Ubuntu,Ναι
11/10/2017 11:35:10 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο,Καμία/Beginner,,Ναι
11/10/2017 11:39:53 μ.μ.,linux@gmail.com,Foo Bar,Ναι,1ο ετος,Καμία/Beginner,Ubuntu,Ναι
11/10/2017 11:47:52 μ.μ.,linux@gmail.com,Foo Bar,Ναι,2ο,Καμία/Beginner,Ubuntu,Ναι
11/10/2017 11:51:36 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Ναι
11/10/2017 11:55:48 μ.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,,Ναι
12/10/2017 12:15:23 π.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,Ubuntu,Όχι
12/10/2017 12:42:16 π.μ.,linux@gmail.com,Foo Bar,Ναι,6,Καμία/Beginner,Ubuntu,Όχι
12/10/2017 12:51:10 π.μ.,linux@gmail.com,Foo Bar,Όχι,,Intermediate,Gentoo,Όχι
12/10/2017 2:15:16 π.μ.,linux@gmail.com,Foo Bar,Ναι,3,Intermediate,Ubuntu,Ναι
12/10/2017 7:24:34 π.μ.,linux@gmail.com,Foo Bar,Ναι,4ο,Intermediate,Ubuntu,Όχι
12/10/2017 8:59:05 π.μ.,linux@gmail.com,Foo Bar,Ναι,,Καμία/Beginner,Ubuntu,Όχι
12/10/2017 11:11:00 π.μ.,linux@gmail.com,Foo Bar,Ναι,4,Καμία/Beginner,Ubuntu,Ναι
12/10/2017 12:33:13 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Καμία/Beginner,,Ναι
12/10/2017 1:41:02 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Καμία/Beginner,Mint,Ναι
12/10/2017 1:53:24 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2,Advanced/Expert,Deepin OS,Ναι
12/10/2017 1:54:35 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2,Καμία/Beginner,Linux Mint,Ναι
12/10/2017 1:57:09 μ.μ.,linux@gmail.com,Foo Bar,Όχι,2,Καμία/Beginner,Ubuntu,Ναι
12/10/2017 2:25:15 μ.μ.,linux@gmail.com,Foo Bar,Όχι,,Intermediate,Debian,Ναι
